"language","type","digits","bases","monomorphemics","curr_bases","number_addition_max","number_subtraction_max","phrase_subtraction","exceptions"
"mandarin","base-10","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"abun","base-10","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[[10,[10,20],'(1 * 10)']]"
"tagalog","base-10","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[[10,[10,11],'(1 * 10)']]"
"hindi","base-10","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,100],10]]","[[[10,80],9],[[80,100],10]]","[[[10,80],2]]","[]","[]"
"greek","base-10 w/ monomorphemics","[1,2,3,4,5,6,7,8,9]","[10]","[20]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"garo","base-10 w/ monomorphemics","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,30],20],[[30,40],30],[[40,100],10]]","[[[10,100],10]]","[]","[]","[[20,[20,30],'(1 * 20)'],[30,[30,40],'(20 + 10)']]"
"yakut","base-10 w/ monomorphemics","[1,2,3,4,5,6,7,8,9]","[10]","[20,30]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"english","base-10 w/ monomorphemics","[1,2,3,4,5,6,7,8,9]","[10]","[11,12]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"russian","base-10 w/ monomorphemics","[1,2,3,4,5,6,7,8,9]","[10]","[40]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"turkish","base-10 w/ monomorphemics","[1,2,3,4,5,6,7,8,9]","[10]","[20,30,40,50]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"cahuilla","base-10 w/o some digits","[1,2,3,4]","[5,10]","[]","[[[5,10],5],[[10,100],10]]","[[[5,10],5],[[10,100],10]]","[]","[]","[]"
"kunama","base-10 w/o some digits","[1,2,3,4]","[5,10]","[]","[[[5,9],5],[[9,100],10]]","[[[5,9],5],[[9,100],10]]","[[[5,10],2]]","[]","[]"
"kayahli","base-10 w/o some digits","[1,2,3,4]","[5,10]","[]","[[[5,10],5],[[10,100],10]]","[[[5,10],5],[[10,100],10]]","[]","[]","[[6,[1,100],'(2 * 3)'],[7,[1,100],'((2 * 3) + 1)'],[8,[1,100],'(2 * 4)'],[9,[1,100],'((2 * 4) + 1)']]"
"quileute","base-10 w/o some digits","[1,2,3,4]","[5,10]","[]","[[[5,8],5],[[8,100],10]]","[[[5,8],5],[[8,100],10]]","[[[5,10],3]]","[]","[]"
"tarahumara","base-10 w/o some digits","[1,2,3,4,5,6,7]","[10]","[]","[[[1,100],10]]","[[[1,10],9],[[10,100],10]]","[[[1,10],2]]","[]","[[8,[1,100],'(2 * 4)']]"
"kannada","base-10 w/o some digits","[1,2,3,4,5,6,7,8]","[10]","[]","[[[1,100],10]]","[[[1,10],9],[[10,100],10]]","[[[1,10],2]]","[]","[]"
"khanty","base-10 w/o some digits","[1,2,3,4,5,6,7,8]","[10]","[20]","[[[1,100],10]]","[[[1,80],9],[[80,100],10]]","[[[1,80],2]]","[]","[]"
"georgian","base-20","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,100],20]]","[[[10,20],10],[[20,100],20]]","[]","[]","[]"
"ingush","base-20","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,100],20]]","[[[10,20],9],[[20,100],20]]","[[[10,20],2]]","[]","[]"
"abkhaz","base-20","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,30],10],[[30,100],20]]","[[[10,30],10],[[30,100],20]]","[]","[]","[]"
"huave","base-20","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,100],20]]","[[[10,20],10],[[20,100],20]]","[]","[]","[[20,[20,40],'(1 * 20)']]"
"lezgian","base-20","[1,2,3,4,5,6,7,8,9]","[10,20]","[40]","[[[10,20],10],[[20,100],20]]","[[[10,20],10],[[20,100],20]]","[]","[]","[]"
"yucatec","base-20","[1,2,3,4,5,6,7,8,9]","[10,20]","[11]","[[[10,20],10],[[20,100],20]]","[[[10,20],10],[[20,100],20]]","[]","[]","[[10,[10,11,20],'(1 * 10)'],[20,[20,40],'(1 * 20)']]"
"mixtecA","base-20","[1,2,3,4,5,6,7,8,9]","[10,15,20]","[]","[[[10,15],10],[[15,20],15],[[20,100],20]]","[[[10,15],10],[[15,20],15],[[20,100],20]]","[]","[]","[]"
"mixtecC","base-20","[1,2,3,4,5,6,7,8,9]","[10,15,20]","[]","[[[10,15],10],[[15,20],15],[[20,100],20]]","[[[10,15],10],[[15,20],15],[[20,100],20]]","[]","[]","[[60,[60,70],'((2 * 20) + 20)']]"
"french","base-20","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,30],20],[[30,70],10],[[70,100],20]]","[[[10,70],10],[[70,100],20]]","[]","[]","[]"
"albanian","base-20","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20,20],10],[[20,30,20],20],[[60,100],10]]","[[[10,100],10]]","[]","[]","[[20,[20,30],'(1 * 20)']]"
"otomi","base-20 w/o some digits","[1,2,3,4]","[5,10,20]","[]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[]","[]","[[20,[20,40],'(1 * 20)']]"
"gola","base-20 w/o some digits","[1,2,3,4]","[5,10,20]","[]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[]","[]","[[20,[20,21],'(1 * 20)']]"
"arawak","base-20 w/o some digits","[1,2,3,4]","[5,20]","[]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[]","[]","[[5,[5,6],'(1 * 5)'],[10,[1,100],'(2 * 5)']]"
"kana","base-20 w/o some digits","[1,2,3,4]","[5,10,20]","[6]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[]","[]","[]"
"nahuatl","base-20 w/o some digits","[1,2,3,4]","[5,10,15,20]","[]","[[[5,10],5],[[10,15],10],[[15,20],15],[[20,100],20]]","[[[5,10],5],[[10,15],10],[[15,20],15],[[20,100],20]]","[]","[]","[[20,[20,40],'(1 * 20)']]"
"diola","base-20 w/o some digits","[1,2,3,4]","[5,10,15,20]","[]","[[[5,10],5],[[10,15],10],[[15,20],15],[[20,100],20]]","[[[5,10],5],[[10,15],10],[[15,20],15],[[20,100],20]]","[]","[]","[]"
"supyire","base-20 w/o some digits","[1,2,3,4]","[5,10,20]","[80]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[[[5,10],5],[[10,20],10],[[20,100],20]]","[]","[]","[]"
"drehu","base-20 w/o some digits","[1,2,3,4]","[5,10,15,20]","[]","[[[5,10],5],[[10,15],10],[[15,20],15],[[20,100],20]]","[[[5,10],5],[[10,15],10],[[15,20],15],[[20,100],20]]","[]","[]","[[5,[5,6],'(1 * 5)'],[10,[10,11,20],'(2 * 5)'],[15,[15,16],'(3 * 5)'],[20,[20,40],'(1 * 20)']]"
"mangab-mbula","base-20 w/o some digits","[1,2,3,4]","[5,20]","[]","[[[5,20],5],[[20,100],20]]","[[[5,20],5],[[20,100],20]]","[]","[]","[[5,[5,10,20],'(1 * 5)'],[10,[1,100],'(2 * 5)'],[15,[15,16,20],'((2 + 1) * 5)'],[20,[20,40],'(1 * 20)']]"
"haida","other bases","[1,2,3,4,5,6,7,8]","[10,20]","[]","[[[1,10],10],[[10,20,20],10],[[20,30,20],20]]","[[[1,10],9],[[10,100],10]]","[[[1,10],2]]","[]","[]"
"kilivila","other bases","[1,2,3,4,5]","[10]","[]","[[[5,10],5],[[10,60],10],[[60,100],50]]","[[[5,10],5],[[10,60],10],[[60,100],50]]","[]","[]","[[10,[[10,20],[60,70]],'(1 * 10)']]"
"tommoso","other bases","[1,2,3,4,5,6,7,8,9]","[10,80]","[]","[[[10,80],10],[[80,100],80]]","[[[10,80],10],[[80,100],80]]","[]","[]","[]"
"khalaj","other bases","[1,2,3,4,5,6,7,8,9]","[10,50]","[20,30,40]","[[[10,50],10],[[50,100],50]]","[[[10,60],10],[[60,100],50]]","[]","[]","[]"
